Candidate,Votes,County,race
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,5944,Los Alamos,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,4225,Los Alamos,Governor and Lieutenant Governor
Total Votes,10169,Los Alamos,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,2967,Luna,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,3176,Luna,Governor and Lieutenant Governor
Total Votes,6143,Luna,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,12913,McKinley,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,5139,McKinley,Governor and Lieutenant Governor
Total Votes,18052,McKinley,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,1664,Mora,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,678,Mora,Governor and Lieutenant Governor
Total Votes,2342,Mora,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,6450,Otero,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,10644,Otero,Governor and Lieutenant Governor
Total Votes,17094,Otero,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,1142,Quay,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,1935,Quay,Governor and Lieutenant Governor
Total Votes,3077,Quay,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,9319,Rio Arriba,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,3447,Rio Arriba,Governor and Lieutenant Governor
Total Votes,12766,Rio Arriba,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,1429,Roosevelt,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,3220,Roosevelt,Governor and Lieutenant Governor
Total Votes,4649,Roosevelt,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,13336,San Juan,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,23937,San Juan,Governor and Lieutenant Governor
Total Votes,37273,San Juan,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,7001,San Miguel,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,2237,San Miguel,Governor and Lieutenant Governor
Total Votes,9238,San Miguel,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,30236,Sandoval,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,24709,Sandoval,Governor and Lieutenant Governor
Total Votes,54945,Sandoval,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,52301,Santa Fe,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,14259,Santa Fe,Governor and Lieutenant Governor
Total Votes,66560,Santa Fe,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,1880,Sierra,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,2843,Sierra,Governor and Lieutenant Governor
Total Votes,4723,Sierra,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,3601,Socorro,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,2658,Socorro,Governor and Lieutenant Governor
Total Votes,6259,Socorro,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,11811,Taos,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,2687,Taos,Governor and Lieutenant Governor
Total Votes,14498,Taos,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,2045,Torrance,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,3315,Torrance,Governor and Lieutenant Governor
Total Votes,5360,Torrance,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,412,Union,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,1049,Union,Governor and Lieutenant Governor
Total Votes,1461,Union,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,10696,Valencia,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,11720,Valencia,Governor and Lieutenant Governor
Total Votes,22416,Valencia,Governor and Lieutenant Governor
MAGGIE TOULOUSE OLIVER,149774,Bernalillo,Secretary of State
GINGER G GRIDER,10928,Bernalillo,Secretary of State
GAVIN S CLARKSON,75293,Bernalillo,Secretary of State
Total Votes,235995,Bernalillo,Secretary of State
MAGGIE TOULOUSE OLIVER,545,Catron,Secretary of State
GINGER G GRIDER,91,Catron,Secretary of State
GAVIN S CLARKSON,1176,Catron,Secretary of State
Total Votes,1812,Catron,Secretary of State
MAGGIE TOULOUSE OLIVER,5477,Chaves,Secretary of State
GINGER G GRIDER,789,Chaves,Secretary of State
GAVIN S CLARKSON,10258,Chaves,Secretary of State
Total Votes,16524,Chaves,Secretary of State
MAGGIE TOULOUSE OLIVER,4200,Cibola,Secretary of State
GINGER G GRIDER,463,Cibola,Secretary of State
GAVIN S CLARKSON,2324,Cibola,Secretary of State
Total Votes,6987,Cibola,Secretary of State
MAGGIE TOULOUSE OLIVER,2345,Colfax,Secretary of State
GINGER G GRIDER,242,Colfax,Secretary of State
GAVIN S CLARKSON,2040,Colfax,Secretary of State
Total Votes,4627,Colfax,Secretary of State
MAGGIE TOULOUSE OLIVER,2930,Curry,Secretary of State
GINGER G GRIDER,565,Curry,Secretary of State
GAVIN S CLARKSON,6600,Curry,Secretary of State
Total Votes,10095,Curry,Secretary of State
MAGGIE TOULOUSE OLIVER,287,De Baca,Secretary of State
GINGER G GRIDER,52,De Baca,Secretary of State
GAVIN S CLARKSON,441,De Baca,Secretary of State
Total Votes,780,De Baca,Secretary of State
MAGGIE TOULOUSE OLIVER,34448,Dona Ana,Secretary of State
GINGER G GRIDER,3569,Dona Ana,Secretary of State
GAVIN S CLARKSON,21492,Dona Ana,Secretary of State
Total Votes,59509,Dona Ana,Secretary of State
MAGGIE TOULOUSE OLIVER,4869,Eddy,Secretary of State
GINGER G GRIDER,700,Eddy,Secretary of State
GAVIN S CLARKSON,10074,Eddy,Secretary of State
