county,race,candidate,votes
Douglas,UNITED STATES SENATOR,"HAGAN, TIM",266
Douglas,UNITED STATES SENATOR,"MICHAELS, BARRY",224
Douglas,UNITED STATES SENATOR,"BAKARI, KAMAU A.",134
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",17734
Douglas,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",8091
Douglas,GOVERNOR,"LAXALT, ADAM PAUL",16897
Douglas,GOVERNOR,"SISOLAK, STEVE",7962
Douglas,GOVERNOR,NONE OF THESE CANDIDATES,408
Douglas,GOVERNOR,"BUNDY, RYAN",345
Douglas,GOVERNOR,"LORD, JARED",222
Douglas,GOVERNOR,"BEST, RUSSELL",211
Douglas,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",15723
Douglas,LIEUTENANT GOVERNOR,"MARSHALL, KATE",8661
Douglas,LIEUTENANT GOVERNOR,"HANSEN, JANINE",719
Douglas,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,491
Douglas,LIEUTENANT GOVERNOR,"UEHLING, ED",332
Douglas,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",17167
Douglas,SECRETARY OF STATE,"ARAUJO, NELSON",7916
Douglas,SECRETARY OF STATE,NONE OF THESE CANDIDATES,576
Douglas,STATE TREASURER,"BEERS, BOB",16929
Douglas,STATE TREASURER,"CONINE, ZACH",7717
Douglas,STATE TREASURER,NONE OF THESE CANDIDATES,664
Douglas,STATE TREASURER,"HOGE, BILL",540
Douglas,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",17079
